R.Time (min),Intensity,MW_PEG,normalized RI
10.0,-1,244809491.4770949,0.0023328149300155523
10.00833,0,226066369.0678556,0.002527216174183515
10.01667,0,208862047.9345492,0.002527216174183515
10.025,0,193098883.00596377,0.002527216174183515
10.03333,-1,178629686.84866405,0.0023328149300155523
10.04167,2,165325320.1823346,0.00291601866251944
10.05,9,153114370.15191156,0.0042768273716951785
10.05833,9,141886574.17771623,0.0042768273716951785
10.06667,10,131545062.97972281,0.004471228615863142
10.075,5,122037391.20438288,0.003499222395023328
10.08333,-1,113280520.37939933,0.0023328149300155523
10.09167,-4,105201404.82662031,0.001749611197511664
10.1,-6,97761375.06316319,0.0013608087091757388
10.10833,-7,90897569.55761358,0.0011664074650077762
10.11667,-6,84554622.10898146,0.0013608087091757388
10.125,-11,78703911.78220958,0.00038880248833592535
10.13333,-13,73297607.93678287,0.0
10.14167,-1,68293531.37698273,0.0023328149300155523
10.15,1,63670421.60390154,0.0027216174183514776
10.15833,1,59391701.88418152,0.0027216174183514776
10.16667,0,55425078.54353541,0.002527216174183515
10.175,-1,51754704.34957619,0.0023328149300155523
10.18333,-2,48352470.42102826,0.0021384136858475893
10.19167,-2,45193530.266824685,0.0021384136858475893
10.2,-3,42266033.42468907,0.0019440124416796269
10.20833,-2,39548273.62675738,0.0021384136858475893
10.21667,-2,37021041.882985875,0.0021384136858475893
10.225,-3,34675449.7620659,0.0019440124416796269
10.23333,-3,32494655.276677117,0.0019440124416796269
10.24167,-4,30463737.360750485,0.001749611197511664
10.25,-4,28576010.68983851,0.001749611197511664
10.25833,-3,26818346.2454174,0.0019440124416796269
10.26667,-3,25179099.666889258,0.0019440124416796269
10.275,-3,23653229.926850706,0.0019440124416796269
10.28333,-3,22230455.28319827,0.0019440124416796269
10.29167,-2,20901646.865280073,0.0021384136858475893
10.3,-2,19662994.917275466,0.0021384136858475893
10.30833,-2,18506411.051037826,0.0021384136858475893
10.31667,-2,17424706.245218202,0.0021384136858475893
10.325,-2,16414995.62030581,0.0021384136858475893
10.33333,-2,15470887.953888306,0.0021384136858475893
10.34167,-2,14586696.81078507,0.0021384136858475893
10.35,-2,13760234.088900954,0.0021384136858475893
10.35833,-2,12986427.557837559,0.0021384136858475893
10.36667,-2,12260759.75275634,0.0021384136858475893
10.375,-2,11581568.957680298,0.0021384136858475893
10.38333,-2,10944812.4493414,0.0021384136858475893
10.39167,-2,10346886.09179233,0.0021384136858475893
